Scanner,EPC,RSSI (raw),Antenna,Count,Last Seen
Scan_01,086895A5,70,1,37,12:24:34
Scan_01,E28011704000021CDFDB880E,85,1,60,12:24:34
Scan_01,E28011704000021CDFDB54EE,78,1,40,12:24:33
Scan_01,E28011704000021CDFDB54FE,70,1,25,12:24:34
