Scanner,EPC,RSSI (raw),Antenna,Count,Last Seen
Scan_01,9999000000000001,104,1,55,15:38:16
Scan_01,9999000000000002,103,1,85,15:38:17
Scan_01,9999000000000003,105,1,77,15:38:16
