EPC,RSSI (raw),Antenna,Count,Last Seen
9999000000000005,86,4,24,18:08:09
9999000000000001,70,4,4,18:08:15
9999000000000003,79,4,6,18:08:08
9999000000000007,81,3,7,18:08:15
9999000000000006,91,3,6,18:08:08
BB00000000000009,67,3,14,18:08:13
9999000000000004,68,2,8,18:08:21
9999000000000002,87,1,5,18:08:09
9999000000000008,79,1,1,18:08:08
AA00000000000010,91,3,1,18:08:09
